BoroCode,BoroName,created_datetime,dataset,geometry,id,location.adminArea1,location.adminArea1Type,location.adminArea3,location.adminArea3Type,location.adminArea4,location.adminArea4Type,location.adminArea5,location.adminArea5Type,location.displayLatLng.lat,location.displayLatLng.lng,location.dragPoint,location.geocodeQuality,location.geocodeQualityCode,location.latLng.lat,location.latLng.lng,location.linkId,location.mapUrl,location.postalCode,location.sideOfStreet,location.street,location.type,location_type,reason,submission_sets.support.length,submission_sets.support.url,submitter,submitter.avatar_url,submitter.id,submitter.name,submitter.username,submitter_name,updated_datetime,url,user_token,visible
1,Manhattan,2014-11-11T16:54:55.820319+00:00,568,POINT (-74.0053060000000045 40.7271690000000035),278112,US,Country,NY,State,New York County,County,New York City,City,40.727246,-74.004958,False,ADDRESS,L1AAA,40.727169,-74.005306,0,"http://open.mapquestapi.com/staticmap/v4/getmap?key=Fmjtd|luur2g0bnl,25=o5-9at29u&type=map&size=225,160&pois=purple-1,40.727169331113544,-74.00530636310577,0,0|&center=40.727169331113544,-74.00530636310577&zoom=15&rand=-808844602",10014,N,43 Charlton Street,s,suggestion,The stations nearby are often full in the mornings,,,,,,,,Peter Schlendorf,2014-11-11T16:54:56.627300+00:00,http://data.shareabouts.org/api/v2/nycdot/datasets/nycbikeshare/places/278112,session:df01957efe3e12923edced85108a8c78,True
1,Manhattan,2014-11-11T16:53:18.805613+00:00,568,POINT (-74.0053809999999999 40.7272099999999995),278111,US,Country,NY,State,New York County,County,New York City,City,40.727387,-74.005962,False,ADDRESS,L1AAA,40.72721,-74.005381,0,"http://open.mapquestapi.com/staticmap/v4/getmap?key=Fmjtd|luur2g0bnl,25=o5-9at29u&type=map&size=225,160&pois=purple-1,40.727209984003665,-74.00538146495819,0,0|&center=40.727209984003665,-74.00538146495819&zoom=15&rand=-1671698467",10014,N,175 Varick Street,s,suggestion,"This is in a citibike station deadzone... and the few around are empty in the mornings and full in the evenings. In practice, I have to walk 5-10 minutes to find a bike, which when combined with a similar situations near my destination/work, often negates the benefit citibiking so i find alternate methods of travel",,,,,,,,Peter Schlendorf,2014-11-11T16:53:19.512955+00:00,http://data.shareabouts.org/api/v2/nycdot/datasets/nycbikeshare/places/278111,session:df01957efe3e12923edced85108a8c78,True
1,Manhattan,2014-11-11T16:44:52.717453+00:00,568,POINT (-73.9851680000000016 40.7236159999999998),278106,US,Country,NY,State,New York County,County,New York City,City,40.723612,-73.98494,False,ADDRESS,L1AAA,40.723616,-73.985168,0,"http://open.mapquestapi.com/staticmap/v4/getmap?key=Fmjtd|luur2g0bnl,25=o5-9at29u&type=map&size=225,160&pois=purple-1,40.723616172583625,-73.98516833782196,0,0|&center=40.723616172583625,-73.98516833782196&zoom=15&rand=1590540961",10009,N,151 East 3rd Street,s,suggestion,"This is in a citibike station deadzone... and the few around are empty in the mornings and full in the evenings.  In practice, I have to walk 5-10 minutes to find a bike, which when combined with a similar situations near my destination/work, often negates the benefit citibiking so i find alternate methods of travel",,,,,,,,Peter Schedler,2014-11-11T16:44:53.930854+00:00,http://data.shareabouts.org/api/v2/nycdot/datasets/nycbikeshare/places/278106,session:df01957efe3e12923edced85108a8c78,True
4,Queens,2014-11-11T16:40:14.853654+00:00,568,POINT (-73.9206499999999949 40.7530969999999968),278104,US,Country,NY,State,Queens County,County,New York City,City,40.752528,-73.920161,False,ADDRESS,L1AAA,40.753097,-73.92065,0,"http://open.mapquestapi.com/staticmap/v4/getmap?key=Fmjtd|luur2g0bnl,25=o5-9at29u&type=map&size=225,160&pois=purple-1,40.75309676475512,-73.92065048217773,0,0|&center=40.75309676475512,-73.92065048217773&zoom=15&rand=543426310",11101,N,42-52 Northern Boulevard,s,suggestion,"It's right next to Food Bazaar, which is a 24-hr, HUGE grocery and next to a huge Public Storage building for a quick access. Grocery would be cheaper for those living right near the 59th street bridge!",,,,,,,,Autumn Violet,2014-11-11T16:40:16.107309+00:00,http://data.shareabouts.org/api/v2/nycdot/datasets/nycbikeshare/places/278104,session:e49155e034f38748e5cd421000733d02,True
4,Queens,2014-11-11T16:37:07.308515+00:00,568,POINT (-73.9194490000000002 40.7540679999999966),278103,US,Country,NY,State,Queens County,County,New York City,City,40.75429,-73.919779,False,ADDRESS,L1AAA,40.754068,-73.919449,0,"http://open.mapquestapi.com/staticmap/v4/getmap?key=Fmjtd|luur2g0bnl,25=o5-9at29u&type=map&size=225,160&pois=purple-1,40.75406798339401,-73.91944885253906,0,0|&center=40.75406798339401,-73.91944885253906&zoom=15&rand=691971678",11101,N,34-56 43rd Street,s,suggestion,"It's right next to Food Bazaar, which is a 24-hr, HUGE grocery and next to a huge Public Storage building for a quick access. Grocery would be cheaper for those living right near the 59th street bridge!",,,,,,,,Autumn Violet,2014-11-11T16:37:08.398982+00:00,http://data.shareabouts.org/api/v2/nycdot/datasets/nycbikeshare/places/278103,session:e49155e034f38748e5cd421000733d02,True
1,Manhattan,2014-11-11T15:31:05.881270+00:00,568,POINT (-74.0112560000000030 40.7083080000000024),278095,US,Country,NY,State,New York County,County,New York City,City,40.707954,-74.011115,False,ADDRESS,L1AAA,40.708308,-74.011256,0,"http://open.mapquestapi.com/staticmap/v4/getmap?key=Fmjtd|luur2g0bnl,25=o5-9at29u&type=map&size=225,160&pois=purple-1,40.70830777755912,-74.0112555027008,0,0|&center=40.70830777755912,-74.0112555027008&zoom=15&rand=657351976",10005,N,Pine Street,s,suggestion,The Financial District needs more stations in general.,,,,,,,,Noah Branman,2014-11-11T15:31:06.764912+00:00,http://data.shareabouts.org/api/v2/nycdot/datasets/nycbikeshare/places/278095,session:f4198405474549e2fd9025991e0da001,True
1,Manhattan,2014-11-10T21:20:19.492247+00:00,568,POINT (-73.9856809999999996 40.7678849999999997),277904,US,Country,NY,State,New York County,County,New York City,City,40.767523,-73.985637,False,ZIP,Z1XAA,40.767885,-73.985681,0,"http://open.mapquestapi.com/staticmap/v4/getmap?key=Fmjtd|luur2g0bnl,25=o5-9at29u&type=map&size=225,160&pois=purple-1,40.76788497771374,-73.9856806397438,0,0|&center=40.76788497771374,-73.9856806397438&zoom=12&rand=-1260052587",10036,N,,s,suggestion,,,,,http://pbs.twimg.com/profile_images/458694064901062656/FSqo27mp_bigger.jpeg,1322,Marcus Woollen,marcuswoollen,,2014-11-10T21:20:20.016406+00:00,http://data.shareabouts.org/api/v2/nycdot/datasets/nycbikeshare/places/277904,user:1322,True
4,Queens,2014-11-10T21:14:37.804249+00:00,568,POINT (-73.8843169999999958 40.7497400000000027),277896,US,Country,NY,State,Queens County,County,New York City,City,40.749877,-73.884211,False,ADDRESS,L1AAA,40.74974,-73.884317,0,"http://open.mapquestapi.com/staticmap/v4/getmap?key=Fmjtd|luur2g0bnl,25=o5-9at29u&type=map&size=225,160&pois=purple-1,40.749740058875524,-73.884317278862,0,0|&center=40.749740058875524,-73.884317278862&zoom=15&rand=2082744904",11372,N,82-01 37th Avenue,s,suggestion,At the intersection of Jackson Heights' two major shopping streets: 37th Ave and 82nd Street. ,,,,http://pbs.twimg.com/profile_images/458694064901062656/FSqo27mp_bigger.jpeg,1322,Marcus Woollen,marcuswoollen,,2014-11-10T21:14:38.657326+00:00,http://data.shareabouts.org/api/v2/nycdot/datasets/nycbikeshare/places/277896,user:1322,True
4,Queens,2014-11-10T21:11:15.261769+00:00,568,POINT (-73.8725259999999935 40.7343770000000021),277891,US,Country,NY,State,Queens County,County,New York City,City,40.734526,-73.872564,False,ADDRESS,L1AAA,40.734377,-73.872526,0,"http://open.mapquestapi.com/staticmap/v4/getmap?key=Fmjtd|luur2g0bnl,25=o5-9at29u&type=map&size=225,160&pois=purple-1,40.734376700396574,-73.87252628803253,0,0|&center=40.734376700396574,-73.87252628803253&zoom=15&rand=1037322490",11373,N,89-53 Queens Boulevard,s,suggestion,Between the malls. ,,,,http://pbs.twimg.com/profile_images/458694064901062656/FSqo27mp_bigger.jpeg,1322,Marcus Woollen,marcuswoollen,,2014-11-10T21:11:16.875433+00:00,http://data.shareabouts.org/api/v2/nycdot/datasets/nycbikeshare/places/277891,user:1322,True
1,Manhattan,2014-11-10T20:25:20.684375+00:00,568,POINT (-73.9370600000000024 40.8514709999999965),277861,US,Country,NY,State,New York County,County,New York City,City,40.851521,-73.937251,False,ADDRESS,L1AAA,40.851471,-73.93706,0,"http://open.mapquestapi.com/staticmap/v4/getmap?key=Fmjtd|luur2g0bnl,25=o5-9at29u&type=map&size=225,160&pois=purple-1,40.851471209081744,-73.93706023693085,0,0|&center=40.851471209081744,-73.93706023693085&zoom=15&rand=1003925433",10033,N,21 Colonel Robert Magaw Place,s,suggestion,It has a lot of residents looking for a way to get around!,,,,,,,,David Esbin,2014-11-10T20:25:21.301159+00:00,http://data.shareabouts.org/api/v2/nycdot/datasets/nycbikeshare/places/277861,session:480a7864e1767c6fa1c6d65aaa48ab0b,True
4,Queens,2014-11-10T18:45:52.984226+00:00,568,POINT (-73.9120669999999933 40.7473140000000029),277836,US,Country,NY,State,Queens County,County,New York City,City,40.746804,-73.911902,False,ADDRESS,L1AAA,40.747314,-73.912067,0,"http://open.mapquestapi.com/staticmap/v4/getmap?key=Fmjtd|luur2g0bnl,25=o5-9at29u&type=map&size=225,160&pois=purple-1,40.747313859660444,-73.91206741333008,0,0|&center=40.747313859660444,-73.91206741333008&zoom=15&rand=1075141803",11377,N,39-65 52nd Street,s,suggestion,"Site is near a park in a vibrant area of Woodside, close to schools and transportation.  While the area is served by the 7 train and buses, it is difficult to get to Astoria and Brooklyn from here.  Biking is the best way to get around.  The 7 train is increasingly packed and less reliable as gentrification continues to add people to our stagnant infrastructure.  ",,,,,,,,Kevin O'Sullivan,2014-11-10T18:45:53.821270+00:00,http://data.shareabouts.org/api/v2/nycdot/datasets/nycbikeshare/places/277836,session:d009df48f7e9f353b73d13d8975370a4,True
2,Bronx,2014-11-10T18:45:36.911099+00:00,568,POINT (-73.9092559999999992 40.8369069999999965),277835,US,Country,NY,State,Bronx County,County,New York City,City,40.83673,-73.909326,False,ADDRESS,L1AAA,40.836907,-73.909256,0,"http://open.mapquestapi.com/staticmap/v4/getmap?key=Fmjtd|luur2g0bnl,25=o5-9at29u&type=map&size=225,160&pois=purple-1,40.83690656860411,-73.90925645828247,0,0|&center=40.83690656860411,-73.90925645828247&zoom=15&rand=-232221280",10456,N,358 East 170th Street,s,suggestion,"Stations following the BX 11 line. Linking major parks, at the same time, alleviating road congestion on a major east-west artery. ",,,,,,,,Isaac LS Doughty,2014-11-10T18:45:37.634749+00:00,http://data.shareabouts.org/api/v2/nycdot/datasets/nycbikeshare/places/277835,session:839a5cde4ef8165620bfccc97ab9b87f,True
2,Bronx,2014-11-10T18:43:59.541280+00:00,568,POINT (-73.9136550000000057 40.8382780000000025),277834,US,Country,NY,State,Bronx County,County,New York City,City,40.838026,-73.913643,False,ADDRESS,L1AAA,40.838278,-73.913655,0,"http://open.mapquestapi.com/staticmap/v4/getmap?key=Fmjtd|luur2g0bnl,25=o5-9at29u&type=map&size=225,160&pois=purple-1,40.838278354188645,-73.9136552810669,0,0|&center=40.838278354188645,-73.9136552810669&zoom=15&rand=2053755826",10456,N,1384 Grand Concourse,s,suggestion,"Stations following the BX 11 Line, to get ahead in rush hour. ",,,,,,,,Isaac LS Doughty,2014-11-10T18:44:01.986081+00:00,http://data.shareabouts.org/api/v2/nycdot/datasets/nycbikeshare/places/277834,session:839a5cde4ef8165620bfccc97ab9b87f,True
2,Bronx,2014-11-10T18:42:52.999260+00:00,568,POINT (-73.9082910000000055 40.8245590000000007),277833,US,Country,NY,State,Bronx County,County,New York City,City,40.824741,-73.907835,False,ADDRESS,L1AAA,40.824559,-73.908291,0,"http://open.mapquestapi.com/staticmap/v4/getmap?key=Fmjtd|luur2g0bnl,25=o5-9at29u&type=map&size=225,160&pois=purple-1,40.824559220938674,-73.90829086303711,0,0|&center=40.824559220938674,-73.90829086303711&zoom=15&rand=28255370",10456,N,970 Boston Road,s,suggestion,"Line 3rd Ave and Boston Rd with stations every quarter or third of a mile. (also line prospect Ave, and grand concourse of course.) ",,,,,,,,Isaac LS Doughty,2014-11-10T18:42:53.703045+00:00,http://data.shareabouts.org/api/v2/nycdot/datasets/nycbikeshare/places/277833,session:839a5cde4ef8165620bfccc97ab9b87f,True
2,Bronx,2014-11-10T18:39:04.988075+00:00,568,POINT (-73.8976689999999934 40.8365050000000025),277812,US,Country,NY,State,Bronx County,County,New York City,City,40.836897,-73.899289,False,ADDRESS,L1AAA,40.836505,-73.897669,0,"http://open.mapquestapi.com/staticmap/v4/getmap?key=Fmjtd|luur2g0bnl,25=o5-9at29u&type=map&size=225,160&pois=purple-1,40.83650476804311,-73.89766931533813,0,0|&center=40.83650476804311,-73.89766931533813&zoom=15&rand=-107361777",10457,N,Claremont Parkway,s,suggestion,Crotona Park Needs One!,,,,,,,,Isaac Ls Doughty,2014-11-10T18:39:06.121549+00:00,http://data.shareabouts.org/api/v2/nycdot/datasets/nycbikeshare/places/277812,session:839a5cde4ef8165620bfccc97ab9b87f,True
3,Brooklyn,2014-11-10T18:36:07.499471+00:00,568,POINT (-73.9715589999999992 40.6514590000000027),277811,US,Country,NY,State,Kings County,County,New York City,City,40.651985,-73.971099,False,ADDRESS,L1AAA,40.651459,-73.971559,0,"http://open.mapquestapi.com/staticmap/v4/getmap?key=Fmjtd|luur2g0bnl,25=o5-9at29u&type=map&size=225,160&pois=purple-1,40.65145907170671,-73.9715588092804,0,0|&center=40.65145907170671,-73.9715588092804&zoom=15&rand=-2077998321",11218,N,Prospect Park Circle Entrance,s,suggestion,"1 at each park entrance, promote recreation and health. 
",,,,,,,,Isaac LS Doughty,2014-11-10T18:36:08.267800+00:00,http://data.shareabouts.org/api/v2/nycdot/datasets/nycbikeshare/places/277811,session:839a5cde4ef8165620bfccc97ab9b87f,True
3,Brooklyn,2014-11-10T18:35:42.177822+00:00,568,POINT (-73.9620100000000065 40.6548549999999977),277810,US,Country,NY,State,Kings County,County,New York City,City,40.654639,-73.962062,False,ADDRESS,L1AAA,40.654855,-73.96201,0,"http://open.mapquestapi.com/staticmap/v4/getmap?key=Fmjtd|luur2g0bnl,25=o5-9at29u&type=map&size=225,160&pois=purple-1,40.65485532654521,-73.96201014518738,0,0|&center=40.65485532654521,-73.96201014518738&zoom=15&rand=1180809539",11226,N,350 Ocean Avenue,s,suggestion,"1 at each park entrance, promote recreation and health. ",,,,,,,,Isaac LS Doughty,2014-11-10T18:35:43.390832+00:00,http://data.shareabouts.org/api/v2/nycdot/datasets/nycbikeshare/places/277810,session:839a5cde4ef8165620bfccc97ab9b87f,True
3,Brooklyn,2014-11-10T18:35:20.212276+00:00,568,POINT (-73.9628150000000062 40.6605020000000010),277809,US,Country,NY,State,Kings County,County,New York City,City,40.660833,-73.962677,False,ADDRESS,L1AAA,40.660502,-73.962815,0,"http://open.mapquestapi.com/staticmap/v4/getmap?key=Fmjtd|luur2g0bnl,25=o5-9at29u&type=map&size=225,160&pois=purple-1,40.66050180257714,-73.96281480789185,0,0|&center=40.66050180257714,-73.96281480789185&zoom=15&rand=-646393636",11225,N,99 Ocean Avenue,s,suggestion,"1 at each park entrance, promote recreation and health. ",,,,,,,,Isaac LS Doughty,2014-11-10T18:35:20.823487+00:00,http://data.shareabouts.org/api/v2/nycdot/datasets/nycbikeshare/places/277809,session:839a5cde4ef8165620bfccc97ab9b87f,True
3,Brooklyn,2014-11-10T18:35:03.424352+00:00,568,POINT (-73.9627080000000063 40.6630290000000016),277808,US,Country,NY,State,Kings County,County,New York City,City,40.662282,-73.962724,False,ADDRESS,L1AAA,40.663029,-73.962708,0,"http://open.mapquestapi.com/staticmap/v4/getmap?key=Fmjtd|luur2g0bnl,25=o5-9at29u&type=map&size=225,160&pois=purple-1,40.66302882730189,-73.96270751953125,0,0|&center=40.66302882730189,-73.96270751953125&zoom=15&rand=124765753",11225,N,15 Ocean Avenue,s,suggestion,"1 at each park entrance, promote recreation and health. ",,,,,,,,Isaac LS Doughty,2014-11-10T18:35:04.054847+00:00,http://data.shareabouts.org/api/v2/nycdot/datasets/nycbikeshare/places/277808,session:839a5cde4ef8165620bfccc97ab9b87f,True
3,Brooklyn,2014-11-10T18:34:24.136756+00:00,568,POINT (-73.9791869999999960 40.6604900000000029),277807,US,Country,NY,State,Kings County,County,New York City,City,40.660435,-73.979249,False,ADDRESS,L1AAA,40.66049,-73.979187,0,"http://open.mapquestapi.com/staticmap/v4/getmap?key=Fmjtd|luur2g0bnl,25=o5-9at29u&type=map&size=225,160&pois=purple-1,40.660489594495836,-73.97918701171875,0,0|&center=40.660489594495836,-73.97918701171875&zoom=15&rand=-1736892968",11215,N,7 Prospect Park Southwest,s,suggestion,"1 at each park entrance. Bike to park, promote recreation and health. ",,,,,,,,isaac ls Doughty,2014-11-10T18:34:25.388552+00:00,http://data.shareabouts.org/api/v2/nycdot/datasets/nycbikeshare/places/277807,session:839a5cde4ef8165620bfccc97ab9b87f,True
3,Brooklyn,2014-11-10T18:33:12.764701+00:00,568,POINT (-73.9624500000000040 40.6346849999999975),277806,US,Country,NY,State,Kings County,County,New York City,City,40.63473,-73.962547,False,ADDRESS,L1AAA,40.634685,-73.96245,0,"http://open.mapquestapi.com/staticmap/v4/getmap?key=Fmjtd|luur2g0bnl,25=o5-9at29u&type=map&size=225,160&pois=purple-1,40.63468485797011,-73.96245002746582,0,0|&center=40.63468485797011,-73.96245002746582&zoom=15&rand=1038777542",11226,N,East 16th Street,s,suggestion,"Near Transit + Cultural Hub, 'Newkirk Plaza' 
",,,,,,,,Isaac LS Doughty,2014-11-10T18:33:13.892573+00:00,http://data.shareabouts.org/api/v2/nycdot/datasets/nycbikeshare/places/277806,session:839a5cde4ef8165620bfccc97ab9b87f,True
3,Brooklyn,2014-11-10T18:30:07.479672+00:00,568,POINT (-73.9841760000000050 40.6761910000000029),277805,US,Country,NY,State,Kings County,County,New York City,City,40.67611,-73.984379,False,ADDRESS,L1AAA,40.676191,-73.984176,0,"http://open.mapquestapi.com/staticmap/v4/getmap?key=Fmjtd|luur2g0bnl,25=o5-9at29u&type=map&size=225,160&pois=purple-1,40.67619140930079,-73.98417592048645,0,0|&center=40.67619140930079,-73.98417592048645&zoom=15&rand=-877747030",11215,N,270 4th Avenue,s,suggestion,4th ave as corridor to Sunset Park and Bay Ridge. (5th ave better bike corridor but no subway connection there).,,,,,,,,Isaac LS Doughty,2014-11-10T18:30:08.259513+00:00,http://data.shareabouts.org/api/v2/nycdot/datasets/nycbikeshare/places/277805,session:839a5cde4ef8165620bfccc97ab9b87f,True
